l3,l2,l1
4523,42-54.99,00-99.99
6539,65-71.99,00-99.99
8388,76-84.99,00-99.99
0061,00-00.99,00-99.99
3732,35-39.99,00-99.99
0772,06-07.99,00-99.99
9960,87-99.99,00-99.99
3491,30-34.99,00-99.99
7779,76-84.99,00-99.99
8751,87-99.99,00-99.99
5586,55-59.99,00-99.99
0207,01-05.99,00-99.99
8775,87-99.99,00-99.99
5305,42-54.99,00-99.99
0359,01-05.99,00-99.99
683,65-71.99,00-99.99
7674,76-84.99,00-99.99
2632,21-29.99,00-99.99
3726,35-39.99,00-99.99
2753,21-29.99,00-99.99
0052,00-00.99,00-99.99
5179,42-54.99,00-99.99
3886,35-39.99,00-99.99
5103,42-54.99,00-99.99
2731,21-29.99,00-99.99
3764,35-39.99,00-99.99
0403,01-05.99,00-99.99
0243,01-05.99,00-99.99
7926,76-84.99,00-99.99
0689,06-07.99,00-99.99
7092,65-71.99,00-99.99
3889,35-39.99,00-99.99
0051,00-00.99,00-99.99
3571,35-39.99,00-99.99
8840,87-99.99,00-99.99
4232,42-54.99,00-99.99
8686,85-86.99,00-99.99
343,30-34.99,00-99.99
282,21-29.99,00-99.99
0033,00-00.99,00-99.99
2242,21-29.99,00-99.99
4042,40-41.99,00-99.99
4432,42-54.99,00-99.99
3894,35-39.99,00-99.99
4439,42-54.99,00-99.99
5121,42-54.99,00-99.99
409,40-41.99,00-99.99
7701,76-84.99,00-99.99
4863,42-54.99,00-99.99
8574,85-86.99,00-99.99
0113,01-05.99,00-99.99
4674,42-54.99,00-99.99
4022,40-41.99,00-99.99
7838,76-84.99,00-99.99
7847,76-84.99,00-99.99
5631,55-59.99,00-99.99
8084,76-84.99,00-99.99
9963,87-99.99,00-99.99
8422,76-84.99,00-99.99
1839,18-20.99,00-99.99
3785,35-39.99,00-99.99
9636,87-99.99,00-99.99
0395,01-05.99,00-99.99
5749,55-59.99,00-99.99
5369,42-54.99,00-99.99
3976,35-39.99,00-99.99
8854,87-99.99,00-99.99
3808,35-39.99,00-99.99
8611,85-86.99,00-99.99
4499,42-54.99,00-99.99
8875,87-99.99,00-99.99
8897,87-99.99,00-99.99
2912,21-29.99,00-99.99
4441,42-54.99,00-99.99
9326,87-99.99,00-99.99
3814,35-39.99,00-99.99
5222,42-54.99,00-99.99
0114,01-05.99,00-99.99
0412,01-05.99,00-99.99
9449,87-99.99,00-99.99
5795,55-59.99,00-99.99
3881,35-39.99,00-99.99
3899,35-39.99,00-99.99
3512,35-39.99,00-99.99
480,42-54.99,00-99.99
0609,06-07.99,00-99.99
0123,01-05.99,00-99.99
7869,76-84.99,00-99.99
7631,76-84.99,00-99.99
3561,35-39.99,00-99.99
0041,00-00.99,00-99.99
3241,30-34.99,00-99.99
0084,00-00.99,00-99.99
7939,76-84.99,00-99.99
3728,35-39.99,00-99.99
4438,42-54.99,00-99.99
5671,55-59.99,00-99.99
8852,87-99.99,00-99.99
3143,30-34.99,00-99.99
5674,55-59.99,00-99.99
0392,01-05.99,00-99.99
9978,87-99.99,00-99.99
5502,55-59.99,00-99.99
9802,87-99.99,00-99.99
5110,42-54.99,00-99.99
2100,21-29.99,00-99.99
6816,65-71.99,00-99.99
503,42-54.99,00-99.99
5642,55-59.99,00-99.99
9909,87-99.99,00-99.99
3727,35-39.99,00-99.99
3611,35-39.99,00-99.99
0132,01-05.99,00-99.99
0024,00-00.99,00-99.99
0010,00-00.99,00-99.99
0074,00-00.99,00-99.99
8099,76-84.99,00-99.99
603,60-64.99,00-99.99
4281,42-54.99,00-99.99
4516,42-54.99,00-99.99
0292,01-05.99,00-99.99
4979,42-54.99,00-99.99
3816,35-39.99,00-99.99
4011,40-41.99,00-99.99
0407,01-05.99,00-99.99
8619,85-86.99,00-99.99
3029,30-34.99,00-99.99
3619,35-39.99,00-99.99
7907,76-84.99,00-99.99
7931,76-84.99,00-99.99
387,35-39.99,00-99.99
5329,42-54.99,00-99.99
2724,21-29.99,00-99.99
7785,76-84.99,00-99.99
0083,00-00.99,00-99.99
8845,87-99.99,00-99.99
9941,87-99.99,00-99.99
684,65-71.99,00-99.99
8006,76-84.99,00-99.99
5424,42-54.99,00-99.99
7761,76-84.99,00-99.99
4254,42-54.99,00-99.99
4694,42-54.99,00-99.99
8332,76-84.99,00-99.99
4622,42-54.99,00-99.99
8073,76-84.99,00-99.99
4514,42-54.99,00-99.99
5024,42-54.99,00-99.99
3322,30-34.99,00-99.99
4399,42-54.99,00-99.99
0781,06-07.99,00-99.99
8086,76-84.99,00-99.99
3321,30-34.99,00-99.99
4642,42-54.99,00-99.99
0064,00-00.99,00-99.99
3897,35-39.99,00-99.99
1273,08-16.99,00-99.99
8673,85-86.99,00-99.99
3399,30-34.99,00-99.99
3631,35-39.99,00-99.99
4875,42-54.99,00-99.99
0309,01-05.99,00-99.99
3924,35-39.99,00-99.99
8523,85-86.99,00-99.99
9354,87-99.99,00-99.99
6849,65-71.99,00-99.99
3822,35-39.99,00-99.99
3882,35-39.99,00-99.99
435,42-54.99,00-99.99
8672,85-86.99,00-99.99
9923,87-99.99,00-99.99
4551,42-54.99,00-99.99
7569,72-75.99,00-99.99
4675,42-54.99,00-99.99
7760,76-84.99,00-99.99
9803,87-99.99,00-99.99
4620,42-54.99,00-99.99
8601,85-86.99,00-99.99
0722,06-07.99,00-99.99
8013,76-84.99,00-99.99
034,01-05.99,00-99.99
8969,87-99.99,00-99.99
5101,42-54.99,00-99.99
5019,42-54.99,00-99.99
5209,42-54.99,00-99.99
4561,42-54.99,00-99.99
3499,30-34.99,00-99.99
9952,87-99.99,00-99.99
2188,21-29.99,00-99.99
0239,01-05.99,00-99.99
0014,00-00.99,00-99.99
7075,65-71.99,00-99.99
5296,42-54.99,00-99.99
5718,55-59.99,00-99.99
633,60-64.99,00-99.99
4252,42-54.99,00-99.99
5661,55-59.99,00-99.99
8689,85-86.99,00-99.99
686,65-71.99,00-99.99
3427,30-34.99,00-99.99
9229,87-99.99,00-99.99
4709,42-54.99,00-99.99
1733,17-17.99,00-99.99
7109,65-71.99,00-99.99
0152,01-05.99,00-99.99
3409,30-34.99,00-99.99
0716,06-07.99,00-99.99
8862,87-99.99,00-99.99
3539,35-39.99,00-99.99
7784,76-84.99,00-99.99
4023,40-41.99,00-99.99
8257,76-84.99,00-99.99
5491,42-54.99,00-99.99
4632,42-54.99,00-99.99
3616,35-39.99,00-99.99
8801,87-99.99,00-99.99
7978,76-84.99,00-99.99
9634,87-99.99,00-99.99
8938,87-99.99,00-99.99
5524,55-59.99,00-99.99
5304,42-54.99,00-99.99
5381,42-54.99,00-99.99
4533,42-54.99,00-99.99
5475,42-54.99,00-99.99
3484,30-34.99,00-99.99
7758,76-84.99,00-99.99
3334,30-34.99,00-99.99
6141,60-64.99,00-99.99
9648,87-99.99,00-99.99
4403,42-54.99,00-99.99
3842,35-39.99,00-99.99
3615,35-39.99,00-99.99
9604,87-99.99,00-99.99
9714,87-99.99,00-99.99
0151,01-05.99,00-99.99
0015,00-00.99,00-99.99
0039,00-00.99,00-99.99
4921,42-54.99,00-99.99
9983,87-99.99,00-99.99
544,42-54.99,00-99.99
4526,42-54.99,00-99.99
9926,87-99.99,00-99.99
430,42-54.99,00-99.99
8005,76-84.99,00-99.99
5994,55-59.99,00-99.99
3972,35-39.99,00-99.99
3949,35-39.99,00-99.99
0782,06-07.99,00-99.99
184,18-20.99,00-99.99
8417,76-84.99,00-99.99
8876,87-99.99,00-99.99
6951,65-71.99,00-99.99
7817,76-84.99,00-99.99
7905,76-84.99,00-99.99
9751,87-99.99,00-99.99
8155,76-84.99,00-99.99
4511,42-54.99,00-99.99
3173,30-34.99,00-99.99
311,30-34.99,00-99.99
3533,35-39.99,00-99.99
640,60-64.99,00-99.99
0379,01-05.99,00-99.99
5503,55-59.99,00-99.99
9957,87-99.99,00-99.99
7816,76-84.99,00-99.99
3779,35-39.99,00-99.99
2931,21-29.99,00-99.99
3845,35-39.99,00-99.99
5359,42-54.99,00-99.99
9903,87-99.99,00-99.99
3348,30-34.99,00-99.99
4531,42-54.99,00-99.99
3472,30-34.99,00-99.99
610,60-64.99,00-99.99
5188,42-54.99,00-99.99
3798,35-39.99,00-99.99
4641,42-54.99,00-99.99
4575,42-54.99,00-99.99
9638,87-99.99,00-99.99
2751,21-29.99,00-99.99
5091,42-54.99,00-99.99
9465,87-99.99,00-99.99
6839,65-71.99,00-99.99
7841,76-84.99,00-99.99
8964,87-99.99,00-99.99
9359,87-99.99,00-99.99
8152,76-84.99,00-99.99
3963,35-39.99,00-99.99
5474,42-54.99,00-99.99
9981,87-99.99,00-99.99
8628,85-86.99,00-99.99
324,30-34.99,00-99.99
8103,76-84.99,00-99.99
5122,42-54.99,00-99.99
0062,00-00.99,00-99.99
8603,85-86.99,00-99.99
8848,87-99.99,00-99.99
7745,76-84.99,00-99.99
8694,85-86.99,00-99.99
8102,76-84.99,00-99.99
4939,42-54.99,00-99.99
0293,01-05.99,00-99.99
4402,42-54.99,00-99.99
8918,87-99.99,00-99.99
3777,35-39.99,00-99.99
4461,42-54.99,00-99.99
0091,00-00.99,00-99.99
0042,00-00.99,00-99.99
149,08-16.99,00-99.99
3527,35-39.99,00-99.99
7936,76-84.99,00-99.99
0402,01-05.99,00-99.99
6094,60-64.99,00-99.99
8596,85-86.99,00-99.99
3402,30-34.99,00-99.99
806,76-84.99,00-99.99
7309,72-75.99,00-99.99
8182,76-84.99,00-99.99
4525,42-54.99,00-99.99
2279,21-29.99,00-99.99
0711,06-07.99,00-99.99
9939,87-99.99,00-99.99
4284,42-54.99,00-99.99
7969,76-84.99,00-99.99
370,35-39.99,00-99.99
8874,87-99.99,00-99.99
3612,35-39.99,00-99.99
4902,42-54.99,00-99.99
9754,87-99.99,00-99.99
2311,21-29.99,00-99.99
3778,35-39.99,00-99.99
0053,00-00.99,00-99.99
9929,87-99.99,00-99.99
5839,55-59.99,00-99.99
8385,76-84.99,00-99.99
3378,30-34.99,00-99.99
0011,00-00.99,00-99.99
524,42-54.99,00-99.99
0765,06-07.99,00-99.99
341,30-34.99,00-99.99
4643,42-54.99,00-99.99
5459,42-54.99,00-99.99
4513,42-54.99,00-99.99
3887,35-39.99,00-99.99
0881,08-16.99,00-99.99
8192,76-84.99,00-99.99
7061,65-71.99,00-99.99
2811,21-29.99,00-99.99
9627,87-99.99,00-99.99
9316,87-99.99,00-99.99
600,60-64.99,00-99.99
864,85-86.99,00-99.99
8135,76-84.99,00-99.99
5069,42-54.99,00-99.99
0339,01-05.99,00-99.99
3821,35-39.99,00-99.99
4945,42-54.99,00-99.99
3224,30-34.99,00-99.99
9543,87-99.99,00-99.99
4701,42-54.99,00-99.99
0047,00-00.99,00-99.99
0331,01-05.99,00-99.99
0065,00-00.99,00-99.99
0082,00-00.99,00-99.99
5104,42-54.99,00-99.99
8861,87-99.99,00-99.99
303,30-34.99,00-99.99
2262,21-29.99,00-99.99
5362,42-54.99,00-99.99
0479,01-05.99,00-99.99
7937,76-84.99,00-99.99
4041,40-41.99,00-99.99
4881,42-54.99,00-99.99
8096,76-84.99,00-99.99
8667,85-86.99,00-99.99
5498,42-54.99,00-99.99
2749,21-29.99,00-99.99
8112,76-84.99,00-99.99
0295,01-05.99,00-99.99
4849,42-54.99,00-99.99
8963,87-99.99,00-99.99
5061,42-54.99,00-99.99
9910,87-99.99,00-99.99
3964,35-39.99,00-99.99
9356,87-99.99,00-99.99
3342,30-34.99,00-99.99
3979,35-39.99,00-99.99
9815,87-99.99,00-99.99
9988,87-99.99,00-99.99
8683,85-86.99,00-99.99
5132,42-54.99,00-99.99
560,55-59.99,00-99.99
280,21-29.99,00-99.99
6496,60-64.99,00-99.99
4541,42-54.99,00-99.99
3805,35-39.99,00-99.99
9907,87-99.99,00-99.99
734,72-75.99,00-99.99
8914,87-99.99,00-99.99
3992,35-39.99,00-99.99
0529,01-05.99,00-99.99
9999,87-99.99,00-99.99
5822,55-59.99,00-99.99
5341,42-54.99,00-99.99
4719,42-54.99,00-99.99
374,35-39.99,00-99.99
3953,35-39.99,00-99.99
9641,87-99.99,00-99.99
5464,42-54.99,00-99.99
8313,76-84.99,00-99.99
9995,87-99.99,00-99.99
8256,76-84.99,00-99.99
4582,42-54.99,00-99.99
9608,87-99.99,00-99.99
8122,76-84.99,00-99.99
4429,42-54.99,00-99.99
4682,42-54.99,00-99.99
9920,87-99.99,00-99.99
4594,42-54.99,00-99.99
9912,87-99.99,00-99.99
3607,35-39.99,00-99.99
3868,35-39.99,00-99.99
0443,01-05.99,00-99.99
8423,76-84.99,00-99.99
7050,65-71.99,00-99.99
4443,42-54.99,00-99.99
